J,S,P,Q,R,target
0.7099467734437641,-0.2530499574061674,0.12729373966890933,-0.007285523181124604,0.1230918875118156,1.0
-0.7099467734437641,0.2530499574061674,-0.12729373966890933,0.007285523181124604,-0.1230918875118156,-1.0
0.12954241172442305,-0.07459663359855473,0.0001292772314520907,0.0013808640551567879,-0.0021593754826650935,1.0
-0.12954241172442305,0.07459663359855473,-0.0001292772314520907,-0.0013808640551567879,0.0021593754826650935,-1.0
0.13327328764586932,-0.07674975877269286,0.0001292772314520907,0.0013045599541262071,-0.0021593754826650935,1.0
-0.13327328764586932,0.07674975877269286,-0.0001292772314520907,-0.0013045599541262071,0.0021593754826650935,-1.0
0.586030674050265,-0.2646508246561967,0.0008533163075950256,0.0015489007899636368,0.287768266693232,1.0
-0.586030674050265,0.2646508246561967,-0.0008533163075950256,-0.0015489007899636368,-0.287768266693232,-1.0
0.7555752489430654,-0.3669557044681818,0.0008533163075950256,0.0013459699976764578,0.287768266693232,1.0
-0.7555752489430654,0.3669557044681818,-0.0008533163075950256,-0.0013459699976764578,-0.287768266693232,-1.0
0.7768945201547512,-0.2818685455570873,0.13905450300888006,-0.007119149765893405,0.3122353933069627,1.0
-0.7768945201547512,0.2818685455570873,-0.13905450300888006,0.007119149765893405,-0.3122353933069627,-1.0
0.734844840857777,-0.31468214199480926,0.010298448704554083,-0.0003015051665376193,0.3741471179796147,1.0
-0.734844840857777,0.31468214199480926,-0.010298448704554083,0.0003015051665376193,-0.3741471179796147,-1.0
0.8854470030805708,-0.40144938699604216,0.010298448704554083,-0.0018995574990578502,0.3741471179796147,1.0
-0.8854470030805708,0.40144938699604216,-0.010298448704554083,0.0018995574990578502,-0.3741471179796147,-1.0
1.0516663965398352,-0.39413200163223916,0.008345409315362748,-0.0016361596394802108,0.4927054488143861,1.0
-1.0516663965398352,0.39413200163223916,-0.008345409315362748,0.0016361596394802108,-0.4927054488143861,-1.0
0.14457769800440512,-0.0841668770355723,-0.002884881591017685,0.0003175806954771043,0.001979541871344803,1.0
-0.14457769800440512,0.0841668770355723,0.002884881591017685,-0.0003175806954771043,-0.001979541871344803,-1.0
0.16410996253421328,-0.09555550617497988,-0.002884881591017685,0.00022408180219671975,0.001979541871344803,1.0
-0.16410996253421328,0.09555550617497988,0.002884881591017685,-0.00022408180219671975,-0.001979541871344803,-1.0
0.19472531841005336,-0.03944153547049006,0.08443792370658626,-0.002034918963204806,0.08309689141566778,1.0
-0.19472531841005336,0.03944153547049006,-0.08443792370658626,0.002034918963204806,-0.08309689141566778,-1.0
0.48166078022099323,-0.19620087022681654,0.08443792370658626,-0.005197483212707777,0.08309689141566778,1.0
-0.48166078022099323,0.19620087022681654,-0.08443792370658626,0.005197483212707777,-0.08309689141566778,-1.0
1.012674178623601,-0.3735193858084639,0.0017259910477152446,0.0024263289577084665,0.4854062093002828,1.0
-1.012674178623601,0.3735193858084639,-0.0017259910477152446,-0.0024263289577084665,-0.4854062093002828,-1.0
1.0343930514965878,-0.3786413234399237,0.0017259910477152446,0.002274829718048524,0.4854062093002828,1.0
-1.0343930514965878,0.3786413234399237,-0.0017259910477152446,-0.002274829718048524,-0.4854062093002828,-1.0
-0.047756698781760476,0.027232881823902155,0.001055985298236084,0.0023586715903300727,-0.0008810431669835639,-1.0
0.047756698781760476,-0.027232881823902155,-0.001055985298236084,-0.0023586715903300727,0.0008810431669835639,1.0
-0.013667630489097804,0.007948612293531943,0.001055985298236084,0.002068331134016327,-0.0008810431669835639,-1.0
0.013667630489097804,-0.007948612293531943,-0.001055985298236084,-0.002068331134016327,0.0008810431669835639,1.0
0.32674277763701154,-0.1523549910804659,0.00027456162352348934,0.0008947560530072896,0.16119139454825177,1.0
