J,M1,M2,M3,M4,M5,M6,M7,M8,M1M1,M2M2,M3M3,M4M4,M5M5,M6M6,M7M7,M8M8,M2M1,M3M1,M3M2,M4M1,M4M2,M4M3,M5M1,M5M2,M5M3,M5M4,M6M1,M6M2,M6M3,M6M4,M6M5,M7M1,M7M2,M7M3,M7M4,M7M5,M7M6,M8M1,M8M2,M8M3,M8M4,M8M5,M8M6,M8M7
0.5319817461929441,75.13292237502078,-95.95149639335544,-34220.92072566537,-1498.4898354225763,39.87148597620211,-55.422311384881965,-19093.987037884803,-586.2431381127565,5644.956024610899,9206.6896601241,1171071415.3122735,2245471.78686478,1589.7353939504817,3071.632599242817,364580341.0029129,343681.0169842925,-14418.23266057812,-5142235.560966312,6567097.103171965,-225171.8409691242,287564.6840780582,102559403.73242266,5991.322521653446,-7651.4574856865565,-2728877.9216121817,-119494.03291706531,-8328.080438249135,10635.707421915846,3793205.048670374,166099.5405317411,-4419.539822302056,-2869174.091894104,3664193.2568007577,1306827633.520676,57224290.98792161,-1522611.2728216175,2116465.790385104,-88092.32037742864,112501.81270451105,40123559.91064387,1756958.7670963982,-46748.77011981497,64981.89949547111,22387437.760347765
0.32240101202343563,75.13292237502078,-54.31434835668615,-34220.92072566537,-1498.4898354225763,39.87148597620211,-24.320660567522253,-19093.987037884803,-586.2431381127565,5644.956024610899,2950.048437411455,1171071415.3122735,2245471.78686478,1589.7353939504817,591.4945304406318,364580341.0029129,343681.0169842925,-8161.591437865476,-5142235.560966312,3717374.0187606593,-225171.8409691242,162778.9978601902,102559403.73242266,5991.322521653446,-4331.187557620336,-2728877.9216121817,-119494.03291706531,-3654.5646050577566,2641.921660658248,1664550.7945539895,72888.52530238952,-1939.4017534998704,-2869174.091894104,2074154.92698745,1306827633.520676,57224290.98792161,-1522611.2728216175,928756.755258132,-88092.32037742864,63682.828050346245,40123559.91064387,1756958.7670963982,-46748.77011981497,28515.64074415884,22387437.760347765
0.9544711844708677,13.532613597300838,-14.164147590608392,-31.49076395403097,-1330.6679414131738,119.14821172584078,-119.2326636611832,-0.5631303643871164,-4781.48944914047,183.13163077385155,200.62307696853756,991.6682144084964,1770677.1703047738,14196.296357465782,14216.428083740837,0.3171158072947664,22862641.35224164,-383.3558725576861,-852.3046809474212,892.0796567718107,-36014.83015492046,37695.55423253447,83807.50008847714,3224.773420190384,-3375.2657120837325,-7504.136422006714,-317093.41124057106,-3227.0591310074506,3377.6580914367373,7509.4553339293725,317318.166206472,-28412.717309077238,-15.241251252316133,15.9525231878644,35.46681076052426,1498.6790454525092,-134.19195177049204,134.28706666873717,-129412.09826957763,135451.44452112488,301145.51118314423,12725149.44435312,-1139411.8345021252,1140219.4465777236,5385.203791615251
0.9531206894065624,13.532613597300838,-12.901079603993283,-31.49076395403097,-1330.6679414131738,119.14821172584078,-119.06375979049837,-0.5631303643871164,-4781.48944914047,183.13163077385155,166.4378549485715,991.6682144084964,1770677.1703047738,14196.296357465782,14176.178895449497,0.3171158072947664,22862641.35224164,-349.17065053772,-852.3046809474212,812.5297051230317,-36014.83015492046,34334.10607730645,83807.50008847714,3224.773420190384,-3074.281128297036,-7504.136422006714,-317093.41124057106,-3222.487709373318,3072.1020860159083,7498.817510084056,316868.6562746701,-28372.468120785896,-15.241251252316133,14.529979316767866,35.46681076052426,1498.6790454525092,-134.19195177049204,134.09683687224688,-129412.09826957763,123372.7520180304,301145.51118314423,12725149.44435312,-1139411.8345021252,1138604.2224265267,5385.203791615251
0.8787119611117605,118.14354184761235,-118.19248670142112,-0.1891488929161427,-4643.547086734725,84.2464781006447,-86.97319149970045,-587.0413821327236,-1187.6911942191168,13957.896480298532,13969.463912665611,0.0357773036914024,21562529.54672255,7097.469072362406,7564.336039643566,344617.5843362984,1410610.372825632,-27927.357997365427,-44.69344029133572,44.711956021159466,-1097210.1991260047,1097664.7545926336,1756.6435813197063,19906.35462199495,-19914.60148510403,-31.87025612964202,-782404.975903819,-20550.641779130525,20559.155559417,32.90176577110404,807728.2200249108,-14654.37014604538,-138710.29619255525,138767.76150181162,222.07645505273396,5451908.59959027,-98912.33788803338,102113.7250929564,-280636.0886125338,280752.3513562759,449.3009490255949,11030199.969713332,-200117.60036821876,206594.58735465436,1394447.7604025109
0.8415440429861494,118.14354184761235,-118.09459699380358,-0.1891488929161427,-4643.547086734725,84.2464781006447,-81.51976470158894,-587.0413821327236,-1187.6911942191168,13957.896480298532,13946.333839128882,0.0357773036914024,21562529.54672255,7097.469072362406,6645.472037002426,344617.5843362984,1410610.372825632,-27904.227923828697,-44.69344029133572,44.67492456151197,-1097210.1991260047,1096755.643659376,1756.6435813197063,19906.35462199495,-19898.107758885868,-31.87025612964202,-782404.975903819,-19262.06746485937,19254.08751892768,30.83874648818,757081.7317827272,-13735.506143404242,-138710.29619255525,138652.83088329888,222.07645505273396,5451908.59959027,-98912.33788803338,95710.95068311036,-280636.0886125338,280519.8258687918,449.3009490255949,11030199.969713332,-200117.60036821876,193640.6133817832,1394447.7604025109
0.2282615853360674,65.95482526059709,-81.62436628682698,-19386.62831570817,-745.6254810415903,19.37935877239697,-22.24300785189267,-647.4844257204234,-954.0246412905756,4350.038975155896,6662.537171726098,375841357.451418,555957.357978503,375.55954642927935,494.751398299359,419236.0815505064,910163.0161896114,-10767.041630909293,-2557283.3659093524,3164842.5014158715,-98355.19662389348,121722.41475466068,28910328.127348848,2556.324442991723,-3163.655757683928,-751400.8510344374,-28899.487413892108,-2934.0673922833403,3631.142840447312,862433.8516960434,33169.90685875869,-862.1104586781418,-85409.44431469716,105701.0118600393,25105079.80330321,965561.772789457,-25095.665971151,28804.002330555188,-125845.05702124746,155743.31353472132,36990642.24945442,1422690.1641756322,-36976.77160255478,42440.75517425072,1235432.1939783224
0.18770727077724697,65.95482526059709,-50.2852842343672,-19386.62831570817,-745.6254810415903,19.37935877239697,-16.515709692901268,-647.4844257204234,-954.0246412905756,4350.038975155896,2528.609810531098,375841357.451418,555957.357978503,375.55954642927935,272.7686666601929,419236.0815505064,910163.0161896114,-6633.114269714292,-2557283.3659093524,1949724.2304028335,-98355.19662389348,74987.97849312628,28910328.127348848,2556.324442991723,-1948.9931282995176,-751400.8510344374,-28899.487413892108,-2178.581493700105,1660.994312479667,640367.8503728313,24629.067969025527,-640.1277270389756,-85409.44431469716,65117.876769355,25105079.80330321,965561.772789457,-25095.665971151,21387.329611746816,-125845.05702124746,95946.8005077736,36990642.24945442,1422690.1641756322,-36976.77160255478,31512.78803085883,1235432.1939783224
0.8908903197848775,71.92473091647996,-90.66479581189432,-27728.85350601804,-1183.073890328736,86.15615538683687,-95.42711511799224,-6786.394808817798,-1479.168961030502,5173.166917408048,8220.10519961249,768889316.7582088,1399663.8299775703,7422.88311104078,9106.334299742544,46055154.50114916,2187940.8152760547,-13042.082084736196,-3988780.654085679,5028061.682442111,-170184.54243241492,214526.30539407663,65610565.183440745,12393.516585993357,-15622.660472170808,-4778022.822726653,-203858.1958585444,-13727.139153995098,17303.7598141818,5292168.991217452,225794.65665098245,-16443.26671644662,-976219.2410344332,1230574.1992807304,376357894.97542,16057613.015549622,-1169379.371329859,1295212.1573144018,-212777.6590042562,268217.1036462447,82031318.86212738,3499932.3543597413,-254879.02169986,282305.6534464374,20076449.117003627
0.7601269981574588,71.92473091647996,-53.1846660210656,-27728.85350601804,-1183.073890328736,86.15615538683687,-76.8851956556815,-6786.394808817798,-1479.168961030502,5173.166917408048,2828.608699772289,768889316.7582088,1399663.8299775703,7422.88311104078,5911.333311012425,46055154.50114916,2187940.8152760547,-7650.585584895995,-3988780.654085679,2949499.625729246,-170184.54243241492,125842.77947075324,65610565.183440745,12393.516585993357,-9164.372699815902,-4778022.822726653,-203858.1958585444,-11059.894017991612,8178.226905823408,4263876.654235853,181921.7350661063,-13248.265727716502,-976219.2410344332,721864.2827881357,376357894.97542,16057613.015549622,-1169379.371329859,1043546.5853453152,-212777.6590042562,157338.2143622677,82031318.86212738,3499932.3543597413,-254879.02169986,227452.38995328252,20076449.117003627
